"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
49316,162,"NER","Niger",1,"Agadez",2,"Bilma",3,"Kawar","","","Commune","Commune"
49317,162,"NER","Niger",1,"Agadez",3,"Tchighozerine",4,"ZR Tchirozerine","","","Commune","Commune"
49318,162,"NER","Niger",2,"Diffa",4,"Diffa",5,"Bosso","","","Commune","Commune"
49319,162,"NER","Niger",2,"Diffa",4,"Diffa",6,"Diffa","","","Commune","Commune"
49320,162,"NER","Niger",2,"Diffa",4,"Diffa",7,"Komadougou","","","Commune","Commune"
49321,162,"NER","Niger",2,"Diffa",5,"Maïné-Soroa",8,"Goudoumaria","","","Commune","Commune"
49322,162,"NER","Niger",2,"Diffa",5,"Maïné-Soroa",9,"Maine Soroa","","","Commune","Commune"
49323,162,"NER","Niger",2,"Diffa",6,"N'Guigmi",10,"N' Guigmi","","","Commune","Commune"
49324,162,"NER","Niger",2,"Diffa",6,"N'Guigmi",11,"ZR N' Guigmi","","","Commune","Commune"
49325,162,"NER","Niger",3,"Dosso",7,"Boboye",12,"Birni Ngaoure","","","Commune","Commune"
49326,162,"NER","Niger",3,"Dosso",7,"Boboye",13,"Kiota","","","Commune","Commune"
49327,162,"NER","Niger",3,"Dosso",7,"Boboye",14,"Koygolo","","","Commune","Commune"
49328,162,"NER","Niger",3,"Dosso",8,"Dogon-Doutchi",15,"Dogondoutchi","","","Commune","Commune"
49329,162,"NER","Niger",3,"Dosso",8,"Dogon-Doutchi",16,"Takassaba","","","Commune","Commune"
49330,162,"NER","Niger",3,"Dosso",8,"Dogon-Doutchi",17,"Tchibiri","","","Commune","Commune"
49331,162,"NER","Niger",3,"Dosso",9,"Dosso",18,"Dosso","","","Commune","Commune"
49332,162,"NER","Niger",4,"Maradi",15,"Madarounfa",44,"Sarkin Yamma","","","Commune","Commune"
49333,162,"NER","Niger",4,"Maradi",16,"Mayahi",45,"Kanembakache","","","Commune","Commune"
49334,162,"NER","Niger",4,"Maradi",16,"Mayahi",46,"Mayahi","","","Commune","Commune"
49335,162,"NER","Niger",4,"Maradi",17,"Tessaoua",47,"Korghom","","","Commune","Commune"
49336,162,"NER","Niger",4,"Maradi",17,"Tessaoua",48,"Ourafane","","","Commune","Commune"
49337,162,"NER","Niger",4,"Maradi",17,"Tessaoua",49,"Tessaoua","","","Commune","Commune"
49338,162,"NER","Niger",5,"Niamey",18,"Niamey",50,"Lamorde","","","Commune","Commune"
49339,162,"NER","Niger",6,"Tahoua",19,"Bkonni",51,"Birni N' Konni","","","Commune","Commune"
49340,162,"NER","Niger",6,"Tahoua",19,"Bkonni",52,"Doguerawa","","","Commune","Commune"
